Date : 2024-09-09 00:21:00
Directory : c:\Users\wypho\Desktop\code\Embedded
Total : 77 files,  4177 codes, 990 comments, 959 blanks, all 6126 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\needed.hpp                                                          | C++          |         14 |          8 |          7 |         29 |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\include\vfs_api.h                                                           | C++          |         57 |         13 |         14 |         84 |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\FS.cpp                                                                  | C++          |        234 |         20 |         59 |        313 |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\FileReader.cpp                                                          | C++          |         23 |          8 |          5 |         36 |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\LittleFS.cpp                                                            | C++          |        113 |         13 |         23 |        149 |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\Versioner.cpp                                                           | C++          |         45 |          5 |          8 |         58 |
| c:\Users\wypho\Desktop\code\Embedded\lib\Tools\src\vfs_api.cpp                                                             | C++          |        462 |         30 |         84 |        576 |
| c:\Users\wypho\Desktop\code\Embedded\platformio.ini                                                                        | Ini          |          8 |         11 |          4 |         23 |
| c:\Users\wypho\Desktop\code\Embedded\src\main.cpp                                                                          | C++          |         41 |          9 |         15 |         65 |
| Total                                                                                                                      |              |      4,177 |        990 |        959 |      6,126 |
+----------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
